Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ramu, Dandi A; Sabeerali, CT; Chattopadhyay, Rajib; Rao, D Nagarjuna; George, Gibies; Dhakate, AR; Salunke, K; Srivastava, A; Rao, Suryachandra A; ",Indian summer monsoon rainfall simulation and prediction skill in the CFSv2 coupled model: Impact of atmospheric horizontal resolution,Journal of Geophysical Research: Atmospheres,121,5,2205-2221,2016,
"George, Gibies; Rao, D Nagarjuna; Sabeerali, CT; Srivastava, Ankur; Rao, Suryachandra A; ",Indian summer monsoon prediction and simulation in CFSv2 coupled model,Atmospheric Science Letters,17,1,57-64,2016,Wiley Online Library
"Pradhan, Maheswar; Yadav, Ramesh Kumar; Ramu Dandi, A; Srivastava, Ankur; Phani, MK; Rao, Suryachandra A; ",Shift in MONSOON–SST teleconnections in the tropical Indian Ocean and ENSEMBLES climate models' fidelity in its simulation,International Journal of Climatology,37,5,2280-2294,2017,"John Wiley & Sons, Ltd"
"George, Gibies; Rao, D Nagarjuna; Sabeerali, CT; Mahapatra, S; Srivastava, Ankur; Rao, A Suryachandra; ",Role of Coupled Dynamics in Tropical Indian Ocean and Pacific Ocean on Indian Summer Monsoon Simulation and Prediction in CFSv2 Model,,,,,,
"Srivastava, Ankur; Rao, Suryachandra A; Rao, D Nagarjuna; George, Gibies; Pradhan, Maheswar; ","Structure, characteristics, and simulation of monsoon low‐pressure systems in CFS v2 coupled model",Journal of Geophysical Research: Oceans,122,8,6394-6415,2017,
"Pradhan, Maheswar; Rao, A Suryachandra; Srivastava, Ankur; Dakate, Ashish; Salunke, Kiran; Shameera, KS; ",Prediction of Indian summer-monsoon onset variability: A season in advance,Scientific Reports,7,1,1-14,2017,Nature Publishing Group
"Srivastava, Ankur; Pradhan, Maheswar; Goswami, BN; Rao, Suryachandra A; ",Regime shift of Indian summer monsoon rainfall to a persistent arid state: external forcing versus internal variability,Meteorology and Atmospheric Physics,131,2,211-224,2019,Springer Vienna
"Arora, Anika; Rao, Suryachandra A; Pillai, Prasanth; Dhakate, Ashish; Salunke, Kiran; Srivastava, Ankur; ",Assessment of prediction skill in equatorial Pacific Ocean in high resolution model of CFS,Climate Dynamics,51,9,3389-3403,2018,Springer Berlin Heidelberg
"Ankur Srivastava, Maheswar Pradhan, Gibies George, Ashish Dhakate, Kiran Salunke, Suryachandra A. Rao; ",Long Range Forecast of the Indian Summer Monsoon using Climate Forecast System,A Research Report on the 2015 Southwest Monsoon,,,"ESSO/IITM/SERP/SR/02(2015)/185, 58-62",2015,"Indian Institute of Tropical Meteorology, http://www.tropmet.res.in/~lip …"
"Krishna, R Phani Murali; Rao, Suryachandra A; Srivastava, Ankur; Kottu, Hari Prasad; Pradhan, Maheswar; Pillai, Prasanth; Dandi, Ramu A; Sabeerali, CT; ",Impact of convective parameterization on the seasonal prediction skill of Indian summer monsoon,Climate Dynamics,,,1-17,2019,Springer Berlin Heidelberg
"Rao, Suryachandra A; Pillai, Prasanth A; Pradhan, Maheshwar; Srivastava, Ankur; ","Seasonal prediction of Indian summer monsoon in India: The past, the present and the future",MAUSAM,70,2,265-276,2019,INDIA METEOROLOGICAL DEPT
"D.S. Pai, O. P. Sreejith, A. Suryachandra Rao, Arti Bandgar, Kailas Sonawane, Madhuri Musale, Ankur Srivastava, Maheswar Pradhan, Gibies George and Ashish Dhakate; ","Operational and experimental long range forecasts, Monsoon 2016, A Report",IMD Met Monograph,,ESSO/IMD/Synoptic Met./01(2017)/2,,2017,India Meteorological Department
"Gill Martin, Ankur Srivastava, Susmitha Joseph, Rajib Chattopadhay, José Rodriguez, Michael Vellinga, Richard Levine, Sean Milton, Maheswar Pradhan, Suryachandra A. Rao; ","Progress report on common and differing characteristics between modelling systems, with priority for future process study.",,,,,2019,
"Rao, Suryachandra A; Goswami, BN; Sahai, AK; Rajagopal, EN; Mukhopadhyay, P; Rajeevan, M; Nayak, S; Rathore, LS; Shenoi, SSC; Ramesh, KJ; ",Monsoon Mission: A targeted activity to improve monsoon prediction across scales,Bulletin of the American Meteorological Society,,2019,,2019,
"Srivastava, Ankur; Rao, Suryachandra A.; Pradhan, Maheswar; Pillai, Prasanth A.; Prasad, V. S.; ",Gain of one-month lead time in seasonal prediction of Indian Summer Monsoon prediction: comparison of initialization strategies,Theoretical and Applies Climatology,,,,2020,
"Pradhan, Maheswar; Srivastava, Ankur; Rao, Suryachandra A; Banerjee, Deep Sankar; Chatterjee, Abhisek; Francis, PA; Sreejith, OP; Das Gupta, M; Prasad, VS; ",Are ocean-moored buoys redundant for prediction of Indian monsoon?,Meteorology and Atmospheric Physics,133,4,1075-1088,2021,Springer Vienna
"Pradhan, Maheswar; Rao, Suryachandra A; Doi, Takeshi; Pillai, Prasanth A; Srivastava, Ankur; Behera, Swadhin; ",Comparison of MMCFS and SINTEX‐F2 for seasonal prediction of Indian summer monsoon rainfall,International Journal of Climatology,41,13,6084-6108,2021,"John Wiley & Sons, Ltd. Chichester, UK"
"Hari Prasad, KBRR; Ramu, Dandi A; Rao, Suryachandra A; Hameed, Saji N; Samanta, Dhrubajyoti; Srivastava, Ankur; ",Reducing Systematic Biases Over the Indian Region in CFS V2 by Dynamical Downscaling,Earth and Space Science,8,6,e2020EA001507,2021,
"Pillai, Prasanth A; Rao, Suryachandra A; Srivastava, Ankur; Ramu, DA; Pradhan, Maheswar; Das, Renu S; ","Impact of the tropical Pacific SST biases on the simulation and prediction of Indian summer monsoon rainfall in CFSv2, ECMWF-System4, and NMME models",Climate Dynamics,56,5,1699-1715,2021,Springer
"Pradhan, Maheswar; Rao, Suryachandra A; Srivastava, Ankur; ",Factors responsible for consecutive deficit Indian monsoons during 2014 and 2015,Theoretical and Applied Climatology,143,3,1473-1486,2021,Springer
"Srivastava, Ankur; Anguluri, Suryachandra Rao; Ghosh, Subimal; ",Impact of riverine freshwater on Indian Summer Monsoon: Coupling a runoff routing model to a global seasonal forecast model,Frontiers in Climate,,,88,2022,Frontiers
